  0.5000E-01   0.5000E-01  -0.3393E-04  -0.1633E-04
  0.5000E-01   0.1500E+00  -0.8172E-04   0.1370E-04
  0.5000E-01   0.2500E+00  -0.1080E-03   0.6942E-04
  0.5000E-01   0.3500E+00  -0.1187E-03   0.1352E-03
  0.5000E-01   0.4500E+00  -0.1187E-03   0.2005E-03
  0.5000E-01   0.5500E+00  -0.1115E-03   0.2583E-03
  0.5000E-01   0.6500E+00  -0.9915E-04   0.3037E-03
  0.5000E-01   0.7500E+00  -0.8323E-04   0.3330E-03
  0.5000E-01   0.8500E+00  -0.6465E-04   0.3437E-03
  0.5000E-01   0.9500E+00  -0.4404E-04   0.3336E-03
  0.5000E-01   0.1050E+01  -0.2171E-04   0.3012E-03
  0.5000E-01   0.1150E+01   0.2134E-05   0.2450E-03
  0.5000E-01   0.1250E+01   0.2724E-04   0.1637E-03
  0.5000E-01   0.1350E+01   0.5360E-04   0.5613E-04
  0.5000E-01   0.1450E+01   0.8124E-04  -0.7901E-04
  0.5000E-01   0.1550E+01   0.1103E-03  -0.2428E-03
  0.5000E-01   0.1650E+01   0.1405E-03  -0.4367E-03
  0.5000E-01   0.1750E+01   0.1722E-03  -0.6618E-03
  0.5000E-01   0.1850E+01   0.2052E-03  -0.9198E-03
  0.5000E-01   0.1950E+01   0.2396E-03  -0.1212E-02
  0.5000E-01   0.2050E+01   0.2756E-03  -0.1539E-02
  0.5000E-01   0.2150E+01   0.3130E-03  -0.1904E-02
  0.5000E-01   0.2250E+01   0.3520E-03  -0.2306E-02
  0.5000E-01   0.2350E+01   0.3925E-03  -0.2749E-02
  0.5000E-01   0.2450E+01   0.4343E-03  -0.3232E-02
  0.5000E-01   0.2550E+01   0.4776E-03  -0.3758E-02
  0.5000E-01   0.2650E+01   0.5222E-03  -0.4327E-02
  0.5000E-01   0.2750E+01   0.5679E-03  -0.4941E-02
  0.5000E-01   0.2850E+01   0.6146E-03  -0.5600E-02
  0.5000E-01   0.2950E+01   0.6621E-03  -0.6305E-02
  0.5000E-01   0.3050E+01   0.7102E-03  -0.7057E-02
  0.5000E-01   0.3150E+01   0.7584E-03  -0.7855E-02
  0.5000E-01   0.3250E+01   0.8066E-03  -0.8700E-02
  0.5000E-01   0.3350E+01   0.8543E-03  -0.9590E-02
  0.5000E-01   0.3450E+01   0.9012E-03  -0.1053E-01
  0.5000E-01   0.3550E+01   0.9469E-03  -0.1150E-01
  0.5000E-01   0.3650E+01   0.9908E-03  -0.1252E-01
  0.5000E-01   0.3750E+01   0.1032E-02  -0.1358E-01
  0.5000E-01   0.3850E+01   0.1071E-02  -0.1468E-01
  0.5000E-01   0.3950E+01   0.1106E-02  -0.1581E-01
  0.5000E-01   0.4050E+01   0.1138E-02  -0.1697E-01
  0.5000E-01   0.4150E+01   0.1164E-02  -0.1815E-01
  0.5000E-01   0.4250E+01   0.1186E-02  -0.1935E-01
  0.5000E-01   0.4350E+01   0.1203E-02  -0.2057E-01
  0.5000E-01   0.4450E+01   0.1213E-02  -0.2179E-01
  0.5000E-01   0.4550E+01   0.1216E-02  -0.2302E-01
  0.5000E-01   0.4650E+01   0.1212E-02  -0.2423E-01
  0.5000E-01   0.4750E+01   0.1201E-02  -0.2544E-01
  0.5000E-01   0.4850E+01   0.1181E-02  -0.2662E-01
  0.5000E-01   0.4950E+01   0.1154E-02  -0.2777E-01
  0.5000E-01   0.5050E+01   0.1118E-02  -0.2889E-01
