
 -0.13900E+02  -0.13900E+02  -0.10951E-01
 -0.13700E+02  -0.13900E+02  -0.11066E-01
 -0.13500E+02  -0.13900E+02  -0.11230E-01
 -0.13300E+02  -0.13900E+02  -0.11378E-01
 -0.13100E+02  -0.13900E+02  -0.11541E-01
 -0.12900E+02  -0.13900E+02  -0.11673E-01
 -0.12700E+02  -0.13900E+02  -0.11837E-01
 -0.12500E+02  -0.13900E+02  -0.11992E-01
 -0.12300E+02  -0.13900E+02  -0.12156E-01
 -0.12100E+02  -0.13900E+02  -0.12304E-01
 -0.11900E+02  -0.13900E+02  -0.12460E-01
 -0.11700E+02  -0.13900E+02  -0.12624E-01
 -0.11500E+02  -0.13900E+02  -0.12796E-01
 -0.11300E+02  -0.13900E+02  -0.12927E-01
 -0.11100E+02  -0.13900E+02  -0.13099E-01
 -0.10900E+02  -0.13900E+02  -0.13255E-01
 -0.10700E+02  -0.13900E+02  -0.13394E-01
 -0.10500E+02  -0.13900E+02  -0.13542E-01
 -0.10300E+02  -0.13900E+02  -0.13689E-01
 -0.10100E+02  -0.13900E+02  -0.13861E-01
 -0.99000E+01  -0.13900E+02  -0.14009E-01
 -0.97000E+01  -0.13900E+02  -0.14148E-01
 -0.95000E+01  -0.13900E+02  -0.14320E-01
 -0.93000E+01  -0.13900E+02  -0.14435E-01
 -0.91000E+01  -0.13900E+02  -0.14566E-01
 -0.89000E+01  -0.13900E+02  -0.14697E-01
 -0.87000E+01  -0.13900E+02  -0.14845E-01
 -0.85000E+01  -0.13900E+02  -0.14968E-01
 -0.83000E+01  -0.13900E+02  -0.15107E-01
 -0.81000E+01  -0.13900E+02  -0.15247E-01
 -0.79000E+01  -0.13900E+02  -0.15361E-01
 -0.77000E+01  -0.13900E+02  -0.15492E-01
 -0.75000E+01  -0.13900E+02  -0.15615E-01
 -0.73000E+01  -0.13900E+02  -0.15747E-01
 -0.71000E+01  -0.13900E+02  -0.15845E-01
 -0.69000E+01  -0.13900E+02  -0.15943E-01
 -0.67000E+01  -0.13900E+02  -0.16050E-01
 -0.65000E+01  -0.13900E+02  -0.16140E-01
 -0.63000E+01  -0.13900E+02  -0.16230E-01
 -0.61000E+01  -0.13900E+02  -0.16345E-01
 -0.59000E+01  -0.13900E+02  -0.16435E-01
 -0.57000E+01  -0.13900E+02  -0.16542E-01
 -0.55000E+01  -0.13900E+02  -0.16599E-01
 -0.53000E+01  -0.13900E+02  -0.16665E-01
 -0.51000E+01  -0.13900E+02  -0.16779E-01
 -0.49000E+01  -0.13900E+02  -0.16837E-01
 -0.47000E+01  -0.13900E+02  -0.16878E-01
 -0.45000E+01  -0.13900E+02  -0.16968E-01
 -0.43000E+01  -0.13900E+02  -0.17042E-01
 -0.41000E+01  -0.13900E+02  -0.17075E-01
 -0.39000E+01  -0.13900E+02  -0.17140E-01
 -0.37000E+01  -0.13900E+02  -0.17189E-01
 -0.35000E+01  -0.13900E+02  -0.17222E-01
 -0.33000E+01  -0.13900E+02  -0.17279E-01
 -0.31000E+01  -0.13900E+02  -0.17308E-01
 -0.29000E+01  -0.13900E+02  -0.17337E-01
 -0.27000E+01  -0.13900E+02  -0.17374E-01
 -0.25000E+01  -0.13900E+02  -0.17407E-01
 -0.23000E+01  -0.13900E+02  -0.17427E-01
 -0.21000E+01  -0.13900E+02  -0.17452E-01
 -0.19000E+01  -0.13900E+02  -0.17484E-01
 -0.17000E+01  -0.13900E+02  -0.17501E-01
 -0.15000E+01  -0.13900E+02  -0.17513E-01
 -0.13000E+01  -0.13900E+02  -0.17529E-01
 -0.11000E+01  -0.13900E+02  -0.17544E-01
 -0.90000E+00  -0.13900E+02  -0.17552E-01
 -0.70000E+00  -0.13900E+02  -0.17566E-01
 -0.50000E+00  -0.13900E+02  -0.17566E-01
 -0.30000E+00  -0.13900E+02  -0.17573E-01
 -0.99999E-01  -0.13900E+02  -0.17573E-01
  0.10000E+00  -0.13900E+02  -0.17571E-01
  0.30000E+00  -0.13900E+02  -0.17573E-01
  0.50000E+00  -0.13900E+02  -0.17566E-01
  0.70000E+00  -0.13900E+02  -0.17566E-01
  0.90000E+00  -0.13900E+02  -0.17552E-01
  0.11000E+01  -0.13900E+02  -0.17551E-01
  0.13000E+01  -0.13900E+02  -0.17536E-01
  0.15000E+01  -0.13900E+02  -0.17509E-01
  0.17000E+01  -0.13900E+02  -0.17495E-01
  0.19000E+01  -0.13900E+02  -0.17491E-01
  0.21000E+01  -0.13900E+02  -0.17447E-01
  0.23000E+01  -0.13900E+02  -0.17431E-01
  0.25000E+01  -0.13900E+02  -0.17415E-01
  0.27000E+01  -0.13900E+02  -0.17386E-01
  0.29000E+01  -0.13900E+02  -0.17341E-01
  0.31000E+01  -0.13900E+02  -0.17308E-01
  0.33000E+01  -0.13900E+02  -0.17267E-01
  0.35000E+01  -0.13900E+02  -0.17222E-01
  0.37000E+01  -0.13900E+02  -0.17177E-01
  0.39000E+01  -0.13900E+02  -0.17128E-01
  0.41000E+01  -0.13900E+02  -0.17058E-01
  0.43000E+01  -0.13900E+02  -0.17017E-01
  0.45000E+01  -0.13900E+02  -0.16984E-01
  0.47000E+01  -0.13900E+02  -0.16886E-01
  0.49000E+01  -0.13900E+02  -0.16829E-01
  0.51000E+01  -0.13900E+02  -0.16779E-01
  0.53000E+01  -0.13900E+02  -0.16681E-01
  0.55000E+01  -0.13900E+02  -0.16607E-01
  0.57000E+01  -0.13900E+02  -0.16517E-01
  0.59000E+01  -0.13900E+02  -0.16443E-01
  0.61000E+01  -0.13900E+02  -0.16345E-01
